Date,Open,High,Low,Close,Adj Close,Volume
2018-02-14,38.820000,39.619999,38.500000,39.430000,38.556503,21982500
2018-02-15,39.759998,40.119999,39.259998,40.080002,39.192101,21687700
2018-02-16,39.990002,40.419998,39.689999,39.790001,38.908527,22563900
2018-02-20,39.540001,39.689999,39.040001,39.470001,38.595615,18163800
2018-02-21,39.450001,39.840000,39.000000,39.009998,38.145805,14230300
2018-02-22,39.060001,39.570000,38.570000,38.799999,37.940456,18800900
2018-02-23,39.150002,39.650002,38.910000,39.500000,38.624950,16514400
2018-02-26,39.529999,39.740002,39.369999,39.580002,38.703178,14875600
2018-02-27,38.000000,38.200001,36.590000,36.660000,35.847862,69200000
2018-02-28,36.900002,37.080002,35.750000,36.209999,35.407829,69818500
2018-03-01,36.439999,36.869999,36.200001,36.540001,35.730522,34517600
2018-03-02,36.250000,36.580002,36.060001,36.490002,35.681629,28854900
2018-03-05,36.410000,37.099998,36.150002,36.779999,35.965202,29259400
2018-03-06,37.080002,37.090000,36.389999,36.869999,36.053215,19795200
2018-03-07,36.820000,36.820000,36.029999,36.119999,35.319828,25136500
2018-03-08,36.369999,37.009998,36.110001,36.880001,36.062992,23111100
2018-03-09,37.000000,37.139999,36.500000,37.130001,36.307457,23737400
2018-03-12,37.090000,37.220001,36.869999,36.959999,36.141216,17947700
2018-03-13,36.990002,37.110001,36.220001,36.430000,35.622959,20580700
2018-03-14,36.450001,36.549999,35.959999,36.020000,35.222046,26107400
2018-03-15,36.000000,36.310001,35.900002,36.150002,35.349163,22205500
2018-03-16,36.290001,36.619999,35.779999,35.830002,35.036255,46607100
2018-03-19,35.599998,35.869999,34.880001,35.299999,34.517994,34417400
2018-03-20,35.360001,35.500000,34.549999,34.570000,33.804165,20893700
2018-03-21,34.549999,35.150002,34.450001,34.490002,33.725937,21541700
2018-03-22,34.169998,34.230000,33.209999,33.230000,32.493851,53922000
2018-03-23,33.650002,33.730000,33.150002,33.169998,32.435173,43863100
2018-03-26,33.750000,33.790001,32.740002,33.540001,32.796986,32248200
2018-03-27,33.650002,33.880001,32.750000,32.990002,32.259171,31011300
2018-03-28,33.200001,33.849998,33.139999,33.279999,32.542744,32906700
2018-03-29,33.459999,34.520000,33.330002,34.169998,33.413025,32542600
2018-04-02,34.090000,34.299999,33.259998,33.520000,32.777428,35584000
2018-04-03,33.419998,33.549999,32.919998,33.470001,32.915104,29274500
2018-04-04,33.150002,34.410000,33.049999,34.310001,33.741177,26401000
2018-04-05,34.570000,34.810001,34.349998,34.599998,34.026371,23737400
2018-04-06,34.250000,34.529999,33.869999,34.119999,33.554325,33780800
2018-04-09,34.389999,34.560001,33.919998,33.950001,33.387146,17554700
2018-04-10,34.230000,34.400002,33.540001,33.860001,33.298641,30537700
2018-04-11,33.590000,34.070000,33.540001,33.560001,33.003613,21874300
2018-04-12,33.770000,33.889999,32.900002,33.130001,32.580742,29449600
2018-04-13,33.240002,33.450001,32.869999,33.020000,32.472565,24725500
2018-04-16,33.340000,33.740002,32.980000,33.529999,32.974110,15267200
2018-04-17,33.750000,33.849998,33.049999,33.270000,32.718422,33371300
2018-04-18,33.320000,33.549999,33.189999,33.270000,32.718422,23564000
2018-04-19,33.259998,33.759998,33.070000,33.480000,32.924938,21006800
2018-04-20,33.549999,33.799999,33.099998,33.209999,32.659416,25272500
2018-04-23,33.240002,33.919998,33.169998,33.869999,33.308475,20953200
2018-04-24,34.090000,34.290001,33.189999,33.349998,32.797092,28917300
2018-04-25,33.180000,34.779999,33.049999,34.259998,33.692005,39731600
2018-04-26,34.310001,34.480000,33.020000,33.330002,32.777428,32554700
2018-04-27,33.070000,33.110001,31.799999,31.809999,31.282625,51653800
2018-04-30,31.910000,32.240002,31.340000,31.389999,30.869589,38337600
2018-05-01,31.379999,32.099998,31.209999,32.060001,31.528482,25115000
2018-05-02,31.990000,32.000000,31.180000,31.299999,30.781080,19864100
2018-05-03,31.150000,31.260000,30.549999,31.010000,30.495888,21774300
2018-05-04,30.990000,32.049999,30.959999,31.959999,31.430138,20750000
2018-05-07,32.029999,32.410000,31.820000,32.389999,31.853012,18655600
2018-05-08,31.549999,32.020000,30.520000,30.590000,30.082853,52988700
2018-05-09,30.570000,30.969999,30.430000,30.730000,30.220530,22805200
2018-05-10,30.740000,31.639999,30.700001,31.559999,31.036772,24505700
2018-05-11,31.540001,31.950001,31.510000,31.900000,31.371134,14674200
2018-05-14,31.889999,32.250000,31.809999,32.139999,31.607155,19657800
2018-05-15,31.980000,32.029999,31.730000,32.009998,31.479309,23990300
2018-05-16,32.130001,32.680000,32.040001,32.549999,32.010361,19169800
2018-05-17,32.660000,32.840000,32.380001,32.410000,31.872681,23067300
2018-05-18,32.450001,32.759998,32.270000,32.720001,32.177540,18067100
2018-05-21,32.770000,32.889999,32.200001,32.340000,31.803839,18368400
2018-05-22,32.410000,32.709999,32.310001,32.509998,31.971024,13577000
2018-05-23,31.850000,32.240002,31.799999,31.879999,31.351465,27868200
